type,id,keyword,text
blessing,1,PROSPERITY,For I know the plans I have for you; plans to prosper you and not to harm you.
blessing,2,STRENGTH,I can do all things through Christ who strengthens me.
blessing,3,COURAGE,Be strong and courageous. Do not be afraid; for the Lord your God is with you.
blessing,4,PEACE,The Lord gives strength to his people; the Lord blesses his people with peace.
blessing,5,OVERCOMER,In all these things we are more than conquerors through him who loved us.
blessing,6,LIGHT,The Lord is my light and my salvation—whom shall I fear?
blessing,7,PROVISION,And my God will meet all your needs according to the riches of his glory.
blessing,8,FUTURE,Surely there is a future; and your hope will not be cut off.
blessing,9,REST,Come to me, all you who are weary and burdened, and I will give you rest.
blessing,10,FAVOR,For you, Lord, bless the righteous; you surround them with your favor as with a shield.
blessing,11,POWER,God has not given us a spirit of fear, but of power, love, and a sound mind.
blessing,12,VICTORY,But thanks be to God! He gives us the victory through our Lord Jesus Christ.
blessing,13,RENEWAL,But those who hope in the Lord will renew their strength.
blessing,14,GOODNESS,Surely your goodness and love will follow me all the days of my life.
blessing,15,HEALING,Heal me, Lord, and I will be healed; save me and I will be saved.
blessing,16,JOY,The joy of the Lord is your strength.
blessing,17,GUIDANCE,The Lord will guide you always; he will satisfy your needs in a sun-scorched land.
blessing,18,PROTECTION,No weapon formed against you shall prosper.
blessing,19,FAITH,Everything is possible for one who believes.
blessing,20,ABUNDANCE,I have come that they may have life, and have it to the full.
