type,id,keyword,text
psalm,1,BLESSED,You are blessed when you don't take advice from the wicked or hang with the mockers.
psalm,2,FRUITFUL,Stay rooted in the Word; you'll be like a tree that bears fruit in every season.
psalm,3,SECURITY,Lord You are my shield; You are my glory and the one who lifts my head.
psalm,4,ANSWERS,I called out to the Lord and He answered me from His holy mountain.
psalm,5,SLEEP,I can lie down and sleep in peace for the Lord alone keeps me safe.
psalm,6,MORNING,In the morning Lord You hear my voice; I lay my requests before You.
psalm,100,WONDERFUL,Such knowledge is too wonderful for me too lofty for me to attain.
psalm,122,AMEN,It is finished. It is done. It is established in the heavens forever.
proverb,141,BUILDER,A wise woman builds a strong home but a foolish one tears it down with her own hands.
proverb,142,INTEGRITY,Walking with integrity shows you respect the Lord; being shady shows you don't.
proverb,144,HUSTLE,No oxen means a clean stable but you need the strength of the ox for a massive harvest.
proverb,151,GENTLE,A gentle answer turns away wrath but a harsh word stirs up anger.
proverb,1513,VIBE,A happy heart makes the face cheerful but heartache crushes the spirit.
proverb,1523,TIMING,A person finds joy in giving an apt reply—and how good is a timely word!
proverb,163,COMMIT,Commit to the Lord whatever you do and He will establish your plans.
proverb,169,STEPS,In their hearts humans plan their course but the Lord establishes their steps.
proverb,1618,PRIDE,Pride goes before destruction a haughty spirit before a fall.
proverb,1624,HONEY,Gracious words are a honeycomb sweet to the soul and healing to the bones.
proverb,1821,POWER,The tongue has the power of life and death and those who love it will eat its fruit.
proverb,1824,COMPANIONS,There is a friend who sticks closer than a brother.
protocol,1,DESTINY,This is not a coincidence; there is something happening in the spiritual realm that concerns your destiny.
protocol,2,OBSTACLES,I am tearing down every single obstacle that has been standing in opposition to your blessing.
protocol,3,BREAKTHROUGH,I am destroying every chain wrapped around your dreams and every barrier to your breakthrough.
protocol,4,TRANSFORMATION,Every thing that looked like a setback was actually a setup; the pit was preparing you for the palace.
protocol,5,PREPARATION,This delay is not a denial; it is the final stage of preparation before the most incredible chapter of your life.
protocol,208,ACCELERATION,I am compressing time for you; what should have taken years is happening this week.
